Big Beat,music_electronic
Blues,music_blues
Acoustic Blues,music_blues
Blues Rock,music_blues
Country Blues,music_blues
Electric Blues,music_blues
Jump Blues,music_blues
Breakbeat,music_electronic
Classical,music_classical
Country,music_country
Bluegrass,music_country
Country-Rock,music_country
Traditional Country,music_country
Cajun,music_country
Country Swing,music_country
Alternative Country,music_country
Deep House,music_electronic
Dubstep,music_electronic
Electro,music_dance
Electronic,music_electronic
Chiptune,music_electronic
EDM,music_electronic
Happy Hardcore,music_electronic
Jungle,music_electronic
Drum and Bass,music_electronic
Breakbeat,music_electronic
Ambient,music_electronic
Electronica,music_electronic
Folk,music_folk
Funk,music_rock
HipHop,music_rap_hiphop
Rap,music_rap_hiphop
Alternative Hip Hop,music_rap_hiphop
Grime,music_rap_hiphop
Reggaeton,music_rap_hiphop
Miami Bass,music_rap_hiphop
R&B,music_rap_hiphop
Hyphy,music_rap_hiphop
Nerdcore,music_rap_hiphop
Crunk,music_rap_hiphop
Hardcore,music_rap_hiphop
House,music_electronic
Jazz,music_jazz
Nu Jazz,music_jazz
Acid Jazz,music_jazz
Bebop,music_jazz
Free Jazz,music_jazz
Jazz Fusion,music_jazz
Smooth Jazz,music_jazz
Swing,music_jazz
Latin,music_latin
Flamenco,music_latin
Salsa,music_latin
Latin Jazz,music_latin
Mariachi,music_latin
Bossa Nova,music_latin
Merengue,music_latin
Samba,music_latin
Tango,music_latin
Metal,music_heavy_metal
Nu Metal,music_heavy_metal
Alternative Metal,music_heavy_metal
Rap-Metal,music_heavy_metal
Black Metal,music_heavy_metal
Doom Metal,music_heavy_metal
Industrial Metal,music_heavy_metal
Power Metal,music_heavy_metal
Progressive Metal,music_heavy_metal
Thrash Metal,music_heavy_metal
Pop,music_pop
Brit Pop,music_pop
Euro Pop,music_pop
J-Pop,music_pop
Pop Rock,music_pop
Gospel,music_pop
Power Pop,music_pop
Emo,music_pop
Reggae,music_reggae
Dancehall,music_reggae
Dub,music_reggae
Ska,music_reggae
Rock,music_rock
Rock En Espanol,music_rock
Grunge,music_rock
Southern Rock,music_rock
Classic Rock,music_rock
Punk,music_rock
Folk Rock,music_rock
rock and roll,music_rock
Hard Rock,music_rock
Psychedelic Rock,music_rock
Progressive Rock,music_rock
Garage Rock,music_rock
Gothic Rock,music_rock
Soul,music_easy_listening
Neo-Soul,music_easy_listening
Native American,music_easy_listening
New Age,music_easy_listening
Techno,music_electronic
Trance,music_electronic
R&B,music_rb
